Name,Name_pt,Name_es,AttackKey,Frames,Source
Agumon,Agumon,Agumon,agumon,1,du:agumon
Airdramon,Airdramon,Airdramon,airdramon,1,du:airdramon
Andromon,Andromon,Andromon,andromon,1,du:andromon
Angemon,Angemon,Angemon,angemon,1,du:angemon
Bakemon,Bakemon,Bakemon,bakemon,1,du:bakemon
Betamon,Betamon,Betamon,betamon,1,du:betamon
Birdramon,Birdramon,Birdramon,birdramon,1,du:birdramon
Bubbmon,Bubbmon,Bubbmon,bubbmon,1,du:bubbmon
Kokatorimon,Kokatorimon,Kokatorimon,cockatrimon,1,du:cockatrimon
Coelamon,Coelamon,Coelamon,coelamon,1,du:coelamon
Cyclomon,Cyclomon,Cyclomon,cyclomon,1,du:cyclomon
DarkTyrannomon,DarkTyrannomon,DarkTyrannomon,darktyranomon,1,du:darktyranomon
Deltamon,Deltamon,Deltamon,deltamon,1,du:deltamon
Devidramon,Devidramon,Devidramon,devidramon,1,du:devidramon
Devimon,Devimon,Devimon,devimon,1,du:devimon
Eggmon,Eggmon,Eggmon,eggmon,1,du:eggmon
Drimogemon,Drimogemon,Drimogemon,drimogemon,1,du:drimogemon
Elecmon,Elecmon,Elecmon,elecmon,1,du:elecmon
Etemon,Etemon,Etemon,etemon,1,du:etemon
Flymon,Flymon,Flymon,flymon,1,du:flymon
Gabumon,Gabumon,Gabumon,gabumon,1,du:gabumon
Garurumon,Garurumon,Garurumon,garurumon,1,du:garurumon
Gazimon,Gazimon,Gazimon,gazimon,1,du:gazimon
Gekomon,Gekomon,Gekomon,gekomon,1,du:gekomon
Giromon,Giromon,Giromon,giromon,1,du:giromon
Gizamon,Gizamon,Gizamon,gizamon,1,du:gizamon
Greymon,Greymon,Greymon,greymon,1,du:greymon
Kabuterimon,Kabuterimon,Kabuterimon,kabuterimon,1,du:kabuterimon
Centarumon,Centarumon,Centarumon,kentarumon,1,du:centalmon
Koromon,Koromon,Koromon,koromon,1,du:koromon
Kunemon,Kunemon,Kunemon,kunemon,1,du:kunemon
Kuwagamon,Kuwagamon,Kuwagamon,kuwagamon,1,du:kuwagamon
Leomon,Leomon,Leomon,leomon,1,du:leomon
Mamemon,Mamemon,Mamemon,mamemon,1,du:mamemon
Megadramon,Megadramon,Megadramon,megadramon,1,du:megadramon
MegaKabuterimon,MegaKabuterimon,MegaKabuterimon,megakabuterimon,1,du:atlurkabuterimon
Meramon,Meramon,Meramon,meramon,1,du:meramon
MetalGreymon,MetalGreymon,MetalGreymon,metalgreymon,1,du:metalgreymon
MetalMamemon,MetalMamemon,MetalMamemon,metalmamemon,1,du:metalmamemon
MetalTyrannomon,MetalTyrannomon,MetalTyrannomon,metaltyranomon,1,du:metaltyranomon
Mojyamon,Mojyamon,Mojyamon,mojyamon,1,du:mojyamon
Monochromon,Monochromon,Monochromon,monochromon,1,du:monochromon
Monzaemon,Monzaemon,Monzaemon,monzaemon,1,du:monzaemon
Motimon,Motimon,Motimon,motimon,1,du:mochimon
Nanimon,Nanimon,Nanimon,nanimon,1,du:nanimon
Datamon,Datamon,Datamon,nanomon,1,du:nanomon
Numemon,Numemon,Numemon,numemon,1,du:numemon
Ogremon,Ogremon,Ogremon,ogremon,1,du:orgemon
Otamamon,Otamamon,Otamamon,otamamon,1,du:otamamon
Pagumon,Pagumon,Pagumon,pagumon,1,du:pagumon
Palmon,Palmon,Palmon,palmon,1,du:palmon
Patamon,Patamon,Patamon,patamon,1,du:patamon
Piximon,Piximon,Piximon,piccolomon,1,du:picklemon
Biyomon,Biyomon,Biyomon,piyomon,1,du:piyomon
Raremon,Raremon,Raremon,raremon,1,du:raremon
Seadramon,Seadramon,Seadramon,seadramon,1,du:seadramon
Shellmon,Shellmon,Shellmon,shellmon,1,du:shellmon
ShellNumemon,ShellNumemon,ShellNumemon,shelnumemon,1,du:karatsukinumemon
ShogunGekomon,ShogunGekomon,ShogunGekomon,shogungekomon,1,du:tonosamagekomon
SkullGreymon,SkullGreymon,SkullGreymon,skullgreymon,1,du:skullgreymon
Starmon,Starmon,Starmon,starmon,1,du:starmon
Sukamon,Sukamon,Sukamon,sukamon,1,du:scumon
Tanemon,Tanemon,Tanemon,tanemon,1,du:tanemon
Tentomon,Tentomon,Tentomon,tentomon,1,du:tentomon
Tokomon,Tokomon,Tokomon,tokomon,1,du:tokomon
Tortamon,Tortamon,Tortamon,tortomon,1,du:tortomon
Tsunomon,Tsunomon,Tsunomon,tsunomon,1,du:tunomon
Tuskmon,Tuskmon,Tuskmon,tuskmon,1,du:tuskmon
Tyrannomon,Tyrannomon,Tyrannomon,tyranomon,1,du:tyranomon
Unimon,Unimon,Unimon,unimon,1,du:yunimon
Vademon,Vademon,Vademon,vademon,1,du:vademon
Whamon,Whamon,Whamon,whamon,1,du:whamon
ExTyrannomon,ExTyrannomon,ExTyrannomon,xtyranomon,1,du:ex-tyranomon
Frigimon,Frigimon,Frigimon,yukidarumon,1,du:yukidarumon
Yuramon,Yuramon,Yuramon,yuramon,1,du:yuramon
