Egg (Each condition must be fulfilled to unlock egg: if price > 0 then fulfilling each condition will make it available in the shop and buying it will unlock the egg permanently: if price = 0 and each condition is fulfilled then this will unlock the egg permanently: temporary conditions unlock the egg for as long as the condition(s) is/are fulfilled),Unlocked,Price,MapComplete,StageReached,HasXAntibody(Temp),TournamentBeat,ZoneEnemyBeat (Map:Zone:EnemyLocation),CurrentGenerationReached,PreviousGenerationField(Temp),PreviousGenerationAttribute(Temp),PreviousGenerationElement(Temp),MonsterInHistory(List with : ),FoodUsed,ItemUsed,HabitatOwned,Password,Obedience,PreviousGenerationObedience(Temp),Mood,PreviousGenerationMood(Temp),LockedDescription,CanUnlockPermanently,LifetimeWins,AlbumCount,MegaKills,Connections,Storefront,FestivalsCelebrated
Botamon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Egg,TRUE,-1,-1,-1,-1,,-1
Punimon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Egg,TRUE,-1,-1,-1,-1,,-1
Poyomon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Egg,TRUE,-1,-1,-1,-1,,-1
Yuramon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Egg,TRUE,-1,-1,-1,-1,,-1
Zurumon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Egg,TRUE,-1,-1,-1,-1,,-1
Kuramon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,Virus,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Direct descendant of a Virus Monster,FALSE,-1,-1,-1,-1,,-1
Chibickmon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win 10 battles,TRUE,10,-1,-1,-1,,-1
Tsubumon,FALSE,0,0,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Datatal World,TRUE,-1,-1,-1,-1,,-1
Pururumon,FALSE,0,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Datatal World,TRUE,-1,-1,-1,-1,,-1
Dodomon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Fell 5 Mega-class foes,TRUE,-1,-1,5,-1,,-1
Puttimon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,Vaccine,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Direct descendant of a Vaccine Monster,FALSE,-1,-1,-1,-1,,-1
Kiimon,FALSE,0,-1,None,TRUE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Raise an X-Antibody bearer,TRUE,-1,-1,-1,-1,,-1
Dokimon,FALSE,0,-1,None,FALSE,146,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win Summer Open #147,TRUE,-1,-1,-1,-1,,-1
Chibomon,FALSE,0,2,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Datatal World,TRUE,-1,-1,-1,-1,,-1
Fufumon,FALSE,0,-1,None,TRUE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Carries the X-Antibody,FALSE,-1,-1,-1,-1,,-1
Ketomon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Record 20 species in the album,TRUE,-1,20,-1,-1,,-1
Leafmon,FALSE,0,3,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Datatal World,TRUE,-1,-1,-1,-1,,-1
Petitmon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Record 10 species in the album,TRUE,-1,10,-1,-1,,-1
Sakumon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Prove yourself: 50 lifetime wins,TRUE,50,-1,-1,-1,,-1
Zerimon,FALSE,0,-1,None,FALSE,-1,-1,2,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,A 2nd-generation lineage,TRUE,-1,-1,-1,-1,,-1
Cocomon,FALSE,0,-1,None,FALSE,-1,-1,3,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,A 3rd-generation lineage,TRUE,-1,-1,-1,-1,,-1
Cotsucomon,FALSE,0,-1,Ultimate,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Reach the Ultimate stage,TRUE,-1,-1,-1,-1,,-1
Algomon I,FALSE,0,4,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Clear Region 2,TRUE,-1,-1,-1,-1,,-1
Breakdra Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Fell 3 Mega-class foes,TRUE,,,3,-1,,-1
Corona Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Link with 3 tamers online,TRUE,-1,-1,-1,3,,-1
DORU Egg,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Celebrate 2 festivals,TRUE,-1,-1,-1,-1,,2
