Num,Name,Name_pt,Name_es,Map,Zone,Health,VaccinePower,DataPower,VirusPower,Penalty,IsRandom,Location,IsZoneBoss,LootTableID,BitsWon (range of random bits - random range if second number is greater than first),BossParadeMessage,AppearanceChance/100,Time
0,120,120,120,1,1,5,0,0,25,300,FALSE,600,FALSE,13,5t10,null,100,None
1,106,106,106,1,1,5,0,30,0,300,FALSE,1300,FALSE,12,7t15,null,100,None
2,110,110,110,1,1,5,20,35,15,300,FALSE,2000,FALSE,12,10t20,null,100,None
3,95,95,95,1,1,5,20,45,10,300,FALSE,2700,FALSE,12,12t25,null,100,None
4,191,191,191,1,1,6,50,5,15,300,FALSE,3400,FALSE,11,15t30,null,100,None
5,192,192,192,1,1,7,55,7,20,300,FALSE,4200,FALSE,11,18t35,null,100,None
6,98,98,98,1,1,8,60,10,35,300,FALSE,4900,FALSE,11,20t40,null,100,None
7,104,104,104,1,1,9,65,20,15,300,FALSE,5700,FALSE,11,23t45,null,100,None
8,91,91,91,1,1,10,15,25,70,300,FALSE,6100,FALSE,13,25t50,null,100,None
9,136,136,136,1,1,11,75,15,25,300,FALSE,6800,FALSE,11,28t55,null,100,None
10,135,135,135,1,1,11,80,10,30,300,FALSE,7200,FALSE,11,30t60,null,100,None
11,87,87,87,1,1,12,30,85,20,300,FALSE,7900,FALSE,12,33t65,null,100,None
12,121,121,121,1,1,13,20,30,90,300,FALSE,8600,FALSE,13,35t70,null,100,None
13,104,104,104,1,1,14,95,10,55,300,FALSE,9300,FALSE,11,38t75,null,100,None
14,102,102,102,1,1,15,30,40,100,500,FALSE,10000,TRUE,13,100,null,100,None
15,116,116,116,1,1,4,0,0,20,150,TRUE,0,FALSE,13,0t5,null,100,None
16,117,117,117,1,1,4,0,5,15,150,TRUE,0,FALSE,13,0t5,null,100,None
17,106,106,106,1,1,5,0,30,0,150,TRUE,1300,FALSE,12,0t10,null,100,None
18,193,193,193,1,2,15,100,20,40,300,FALSE,900,FALSE,11,38t75,null,100,None
19,122,122,122,1,2,15,40,105,15,300,FALSE,1800,FALSE,12,38t75,null,100,None
20,194,194,194,1,2,16,15,45,110,300,FALSE,2800,FALSE,13,50t100,null,100,None
21,93,93,93,1,2,15,115,10,50,300,FALSE,3800,FALSE,11,38t75,null,100,None
22,195,195,195,1,2,17,20,50,120,300,FALSE,4700,FALSE,13,38t75,null,100,None
23,123,123,123,1,2,15,30,125,20,300,FALSE,6600,FALSE,12,38t75,null,100,None
24,196,196,196,1,2,18,130,30,40,300,FALSE,7500,FALSE,12,50t100,null,100,None
25,124,124,124,1,2,15,50,135,20,300,FALSE,8400,FALSE,12,38t75,null,100,None
26,197,197,197,1,2,19,20,50,140,300,FALSE,9300,FALSE,13,50t100,null,100,None
27,194,194,194,1,2,20,45,55,145,500,FALSE,12000,TRUE,0,500,null,100,None
28,116,116,116,1,2,12,25,35,75,150,TRUE,0,FALSE,13,0t10,null,100,None
29,121,121,121,1,2,15,20,30,95,150,TRUE,0,FALSE,13,0t20,null,100,None
30,117,117,117,1,2,12,20,30,80,150,TRUE,0,FALSE,13,0t10,null,100,None
31,91,91,91,1,3,15,60,65,175,300,FALSE,600,FALSE,13,50t100,null,100,None
32,109,109,109,1,3,15,35,45,150,300,FALSE,1300,FALSE,13,50t100,null,100,None
33,198,198,198,1,3,20,40,155,30,300,FALSE,2000,FALSE,1,100t200,null,100,None
34,199,199,199,1,3,20,30,40,160,300,FALSE,3000,FALSE,2,100t200,null,100,None
35,200,200,200,1,3,20,50,70,165,300,FALSE,4000,FALSE,21,100t200,null,100,None
36,126,126,126,1,3,15,170,20,50,300,FALSE,5000,FALSE,11,100t200,null,100,None
37,94,94,94,1,3,15,20,30,175,300,FALSE,6000,FALSE,13,100t200,null,100,None
