FoodIdentificationNum,SpriteSet,SpriteNum,Name,Name_pt,Name_es,Description,Description_pt,Description_es,DefaultPrice,Hunger,Strength,Energy,Obedience,Enthusiasm,Mood,Calories,Weight,BMGauge,Seconds,Vaccine,Data,Virus,Health,Recovered,Cured,Healed,FatiguedRelieved,DepressedRelieved,FavFood,FavTime,NewPersonality,FavAttribute,Mistake,Type,Sleep,SleepLapse,Temp,GiftChance/100,ShopUnlocked,CanUnlock,DispositionChange,GluttonChange,RestlessChange,Proteins,Vitamins,Minerals,Glutton,Restless,Disposition,CanInc,CanDec,StartingQuantity,ShowInInventory,MaxUses,DefaultStockChance(SpringSummerFallWinter),DefaultMaxStock,DefaultMinStock,DefaultTimeAvailable(HtH;SpringSummerFallWinter),DefaultMustStock,UsesPerFood,DefaultSaleChance(SpringSummerFallWinter),DefaultSaleFactor,DefaultResellFactor,HealLapseChange,CureLapseChange,FatigueLapseChange,EvolProbChange,MaxHoursBeforeSleep,EffectID,Disturb,ListPriority,ChangeToPrefTemp,MissedDay,ForceUse,ForceUseWhenAsleep,FoodID,ItemID
0,0,4,Meat,Meat,Meat,+Mood -Stress,+Mood -Stress,+Mood -Stress,0,1,0,0,0,1,5,4,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Meat,FALSE,0,0,0,FALSE,TRUE,0,0,0,10,0,0,0,0,0,false,false,99,TRUE,99,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
1,0,8,Fish,Fish,Fish,-Stress,-Stress,-Stress,0,1,0,0,0,1,0,2,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Fish,FALSE,0,0,0,FALSE,TRUE,0,0,0,8,1,1,0,0,0,false,false,99,TRUE,99,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
2,0,12,Fruit,Fruit,Fruit,+Mood -Obedience,+Mood -Obedience,+Mood -Obedience,0,1,0,0,-1,0,15,1,0,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Fruit,FALSE,0,0,0,FALSE,TRUE,0,0,0,0,8,2,0,0,0,false,false,99,TRUE,99,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
3,0,16,Vegetable,Vegetable,Vegetable,-Mood +Obedience,-Mood +Obedience,-Mood +Obedience,0,1,0,0,2,0,-10,1,0,5,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Veg,FALSE,0,0,0,FALSE,TRUE,0,0,0,0,2,8,0,0,0,false,false,99,TRUE,99,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
4,0,20,Med,Med,Med,Basic medicine to treat illness,Basic medicine to treat illness,Basic medicine to treat illness,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,0,FALSE,TRUE,0,0,0,0,0,0,0,0,0,false,false,99,FALSE,99,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,-2,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
5,0,0,Vitamin,Vitamin,Vitamin,+Energy -Lifespan +Strength <br>-Injury Chance,+Energy -Lifespan +Strength <br>-Injury Chance,+Energy -Lifespan +Strength <br>-Injury Chance,0,0,1,1,0,1,-10,0,0,0,-3600,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Med,FALSE,0,0,0,FALSE,TRUE,0,0,0,0,4,4,0,0,0,false,false,99,FALSE,99,100;100;100;100,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
6,0,28,Cake,Cake,Cake,-Obedience -Stress <br>-Strength -Depressed,-Obedience -Stress <br>-Strength -Depressed,-Obedience -Stress <br>-Strength -Depressed,500,1,-4,0,-5,10,60,6,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,None,None,None,None,0,Junk;Grain,FALSE,0,0,100,TRUE,TRUE,0,5,0,0,1,1,1,0,1,true,true,0,TRUE,99,100;100;100;100,10,5,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,-2,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
7,0,32,Candy,Candy,Candy,-Obedience +Mood -Strength,-Obedience +Mood -Strength,-Obedience +Mood -Strength,100,1,-1,0,-1,0,30,2,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Junk,FALSE,0,0,100,TRUE,TRUE,0,1,0,0,0,0,1,0,1,true,true,0,TRUE,99,100;100;100;100,50,20,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,-1,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
8,0,36,Steak,Steak,Steak,+Hunger -Stress +Mood +Attributes -Fatigue,+Hunger -Stress +Mood +Attributes -Fatigue,+Hunger -Stress +Mood +Attributes -Fatigue,500,2,0,0,0,5,20,6,0,4,0,1,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,None,None,None,None,0,Meat,FALSE,0,0,0,TRUE,TRUE,0,0,0,6,0,4,0,0,0,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
9,0,40,Banana,Banana,Banana,-Obedience +Energy +Mood +Weight,-Obedience +Energy +Mood +Weight,-Obedience +Energy +Mood +Weight,300,1,0,1,-1,1,15,2,0,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Fruit,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,6,4,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,-1,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
